Date,Building,Water Consumption,Electricity Consumption,Gas Consumption
01-Jan-16,B1000,346159,38819,3378
01-Jan-16,B1001,281717,46252,2187
01-Jan-16,B1002,259530,41091,3173
01-Jan-16,B1003,309176,25577,3581
01-Jan-16,B1004,257742,33917,4709
01-Jan-16,B1005,276221,35698,2810
01-Jan-16,B1006,401399,35458,3660
01-Jan-16,B1007,413543,29061,2149
01-Jan-16,B1008,343048,30666,4075
01-Jan-16,B1009,412804,23541,3263
01-Jan-16,B1010,417348,33490,3067
01-Feb-16,B1000,437812,41404,4822
01-Feb-16,B1001,370356,50269,2872
01-Feb-16,B1002,231200,38796,4414
01-Feb-16,B1003,336263,30638,2861
01-Feb-16,B1004,267027,47231,3846
01-Feb-16,B1005,424629,21445,3802
01-Feb-16,B1006,453536,43418,4704
01-Feb-16,B1007,252241,49719,2499
01-Feb-16,B1008,202733,32055,3200
01-Feb-16,B1009,258350,33749,3946
01-Feb-16,B1010,408801,22845,4403
01-Mar-16,B1000,242522,27059,2617
01-Mar-16,B1001,363959,33456,2317
01-Mar-16,B1002,424409,26934,2160
01-Mar-16,B1003,423089,35397,4854
01-Mar-16,B1004,234020,34906,3400
01-Mar-16,B1005,417242,40682,3773
01-Mar-16,B1006,398217,33341,4886
01-Mar-16,B1007,461819,29178,2844
01-Mar-16,B1008,239402,48668,2327
01-Mar-16,B1009,238633,29262,4298
01-Mar-16,B1010,471206,29866,4075
01-Apr-16,B1000,266742,36271,3267
01-Apr-16,B1001,242610,50193,3522
01-Apr-16,B1002,488203,38987,4520
01-Apr-16,B1003,314863,40734,3697
01-Apr-16,B1004,329990,32011,3175
01-Apr-16,B1005,243752,35146,3775
01-Apr-16,B1006,393447,30633,4645
01-Apr-16,B1007,361251,44703,3097
01-Apr-16,B1008,249738,30314,4818
01-Apr-16,B1009,446149,23830,3599
01-Apr-16,B1010,310387,47597,4378
01-May-16,B1000,307569,47745,3581
01-May-16,B1001,497381,27675,4381
01-May-16,B1002,216109,39647,2735
01-May-16,B1003,265688,37347,4357
01-May-16,B1004,205951,25297,3933
01-May-16,B1005,470276,26339,4602
01-May-16,B1006,429552,34993,4807
01-May-16,B1007,476596,48104,5228
01-May-16,B1008,460030,27802,4766
01-May-16,B1009,459351,47591,4146
01-May-16,B1010,498942,34140,4374
01-Jun-16,B1000,332451,21944,4259
01-Jun-16,B1001,358497,46514,3885
01-Jun-16,B1002,216537,49269,3949
01-Jun-16,B1003,397773,43278,2718
01-Jun-16,B1004,490303,41112,5208
01-Jun-16,B1005,371226,35925,4491
01-Jun-16,B1006,499003,46981,3201
01-Jun-16,B1007,313142,23787,4090
01-Jun-16,B1008,317741,26631,2874
01-Jun-16,B1009,370077,41555,2462
01-Jun-16,B1010,414824,32686,2399
01-Jul-16,B1000,460927,28072,4909
